word,frequency,definition
tracks,19.0,a footprint whether recent or fossil
soundtrack,1.0,a track (as on a motion-picture film or television videotape) that carries the sound record
accommodations,8.0,something supplied for convenience or to satisfy a needsuch as
flush,18.0,to fly away suddenly
quarters,23.0,one of four equal parts into which something is divisible a fourth part
embed,5.0,to enclose closely in or as if in a matrix
specially,22.0,in a special manner
sleeps,2.0,"the natural, easily reversible periodic state of many living things that is marked by the absence of wakefulness and by the loss of consciousness of one's surroundings, is accompanied by a typical body posture (such as lying down with the eyes closed), the occurrence of dreaming, and changes in brain activity and physiological functioning, is made up of cycles of non-REM sleep and REM sleep, and is usually considered essential to the restoration and recovery of vital bodily and mental functions"
resting,18.0,being or characterized by dormancy quiescent a resting spore bulbs in the resting state
specialized,19.0,characterized by or exhibiting biological specialization
dissimilar,11.0,unlike people with dissimilar backgrounds
vascular,8.0,"of, relating to, or affecting a channel for the conveyance of a body fluid (such as blood of an animal or sap of a plant) or a system of such channels"
binge,2.0,a drunken revel spree
patterns,14.0,a form or model proposed for imitation exemplar
BED,1.0,a piece of furniture on or in which to lie and sleep
twice,67.0,on two occasions
uncontrollably,3.0,incapable of being controlled ungovernable a rush of uncontrollable emotions
quantities,16.0,an indefinite amount or number
span,6.0,the distance from the end of the thumb to the end of the little finger of a spread hand
purge,2.0,to clear of guilt
Washington,6.0,1856–1915 American educator
Post,1.0,"a piece (as of timber or metal) fixed firmly in an upright position especially as a stay or support pillar, column"
May,10.0,have permission to
bovine,6.0,"of, relating to, or resembling bovines and especially the ox or cow"
ox,5.0,a domestic bovine mammal (Bos taurus)
fattened,4.0,"to make fat, fleshy, or plump"
carcass,2.0,a dead body corpse
brawn,2.0,the flesh of a boar
beefing,2.0,the flesh of an adult domestic bovine (such as a steer or cow) used as food
muscles,36.0,a body tissue consisting of long cells that contract when stimulated and produce motion
marching,21.0,a border region frontier
sooner,29.0,a person settling on land in the early West before its official opening to settlement in order to gain the prior claim allowed by law to the first settler after official opening
quicker,6.0,acting or capable of acting with speedsuch as
judged,21.0,one who makes judgmentssuch as
entreat,8.0,to plead with especially in order to persuade ask urgently
forgiveness,2.0,the act of forgiving I ask for your forgiveness.
pardon,3.0,indulgence sense 4
sidestep,1.0,"bypass, evade sidestep a question"
begged,1.0,to ask for as a charity (see charity sense 1a)
alms,1.0,something (such as money or food) given freely to relieve the poor
begging,3.0,to ask for as a charity (see charity sense 1a)
elicit,6.0,"to call forth or draw out (something, such as information or a response)"
logically,15.0,"of, relating to, involving, or being in accordance with logic a logical conclusion"
plead,5.0,to argue a case or cause in a court of law
began,12.0,to do the first part of an action go into the first part of a process start began by introducing herself will have to begin again
introducing,14.0,"to lead to or make known by a formal act, announcement, or recommendationsuch as"
arise,17.0,to begin to occur or to exist to come into being or to attention
Their,12.0,"of or relating to them or themselves especially as possessors, agents, or objects of an action"
begun,6.0,to do the first part of an action go into the first part of a process start began by introducing herself will have to begin again
credited,2.0,reliance on the truth or reality of something
dynasty,1.0,a succession of rulers of the same line of descent (see descent sense 1a)
200,6.0,a bowling score of exactly 200 made by rolling alternate strikes and spares
F,18.0,the 6th letter of the English alphabet
Oaks,1.0,any of a genus (Quercus) of trees or shrubs of the beech family that produce acorns
originate,18.0,to take or have origin begin That board game originated in the 1940s.
invent,10.0,"to produce (something, such as a useful device or process) for the first time through the use of the imagination or of ingenious thinking and experiment"
Israel,4.0,jacob sense 2
remembers,5.0,to bring to mind or think of again
feud,1.0,a mutual enmity or quarrel that is often prolonged or inveterate (see inveterate sense 2)
conducts,6.0,to direct or take part in the operation or management of
species,51.0,"kind, sort"
moves,46.0,to go or pass to another place or in a certain direction with a continuous motion
departed,2.0,bygone departed days
buttocks,18.0,the back of a hip that forms one of the fleshy parts on which a person sits
euphemism,2.0,the substitution of an agreeable or inoffensive expression for one that may offend or suggest something unpleasant
ass,3.0,any of several hardy gregarious (see gregarious sense 1a) African or Asian perissodactyl mammals (genus Equus) smaller than the horse and having long ears
idiomatic,5.0,"of, relating to, or conforming to idiom"
believed,54.0,to consider to be true or honest
tenet,1.0,"a principle, belief, or doctrine generally held to be true"
tenets,1.0,"a principle, belief, or doctrine generally held to be true"
conviction,20.0,the act or process of finding a person guilty of a crime especially in a court of law
trustworthy,11.0,worthy of confidence dependable a trustworthy guide trustworthy information
suspicion,17.0,the act or an instance of suspecting something wrong without proof or on slight evidence mistrust
wholehearted,1.0,"completely and sincerely devoted, determined, or enthusiastic"
persuasion,5.0,the act or process or an instance of persuading
goodness,12.0,the quality or state of being good
efficacy,4.0,the power to produce an effect
astounded,1.0,"feeling or showing great surprise or wonder astonished, amazed was astounded to hear the news We were too astounded to speak. We could only stand there staring in amazement.— Arthur Conan Doyle"
doorbell,2.0,a bell or set of chimes to be rung usually by a push button at an outer door
sounding,35.0,"resonant, sonorous"
shipboard,8.0,the side of a ship
Ship,1.0,a large seagoing vessel
Bells,1.0,a hollow metallic device that gives off a reverberating sound when struck
corolla,3.0,the part of a flower that consists of the separate or fused petals and constitutes the inner whorl of the perianth
dewlap,1.0,a fold or flap of skin on the neck of some animalssuch as
moose,4.0,"a ruminant mammal (Alces alces) with humped shoulders, long legs, and broadly palmated antlers that is the largest existing member of the deer family and inhabits forested areas of Canada, the northern U.S., Europe, and Asia"
saucer,2.0,a small shallow dish in which a cup is set at table
gelatinous,4.0,resembling gelatin or jelly viscous a gelatinous precipitate
jellyfish,2.0,"the typically free-swimming, bell-shaped, usually sexually-reproducing solitary or colonial form of a cnidarian in which the whorls of tentacles lined with nematocysts arise and hang down from the margin of the nearly transparent, gelatinous bell medusa"
abacus,1.0,an instrument for performing calculations by sliding counters along rods or in grooves
flared,2.0,"a fire or blaze of light used especially to signal, illuminate, or attract attention"
nozzle,14.0,a projecting vent of something
percussion,8.0,the act of percussingsuch as
tubes,2.0,any of various usually cylindrical structures or devicessuch as
tones,40.0,vocal or musical sound of a specific quality
bells,3.0,a hollow metallic device that gives off a reverberating sound when struck
glockenspiel,1.0,a percussion instrument consisting of a series of graduated metal bars tuned to the chromatic scale and played with two hammers
concussion,3.0,"a stunning, damaging, or shattering effect from a hard blow"
flare,4.0,"a fire or blaze of light used especially to signal, illuminate, or attract attention"
daring,10.0,venturesomely bold in action or thought
resonant,5.0,continuing to sound echoing
bellowing,1.0,to make the loud deep hollow sound characteristic of a bull
baying,1.0,reddish brown
bellow,1.0,to make the loud deep hollow sound characteristic of a bull
roar,9.0,to utter or emit a full loud prolonged sound
Alexander,9.0,"an iced cocktail made from crème de cacao, sweet cream, and gin or brandy"
Graham,3.0,John 1648–1689 Graham of Claverhouse; Bonnie Dundee; 1st Viscount of Dundee Scottish Jacobite
Scottish,9.0,"of, relating to, or characteristic of Scotland, Scots, or the Scots"
inventor,10.0,"to produce (something, such as a useful device or process) for the first time through the use of the imagination or of ingenious thinking and experiment"
California,4.0,"state of the southwestern U.S. on the Pacific, the nation's most populous state; capital Sacramento area 158,706 square miles (411,048 square kilometers), population 37,253,956"
southeast,12.0,"to, toward, or in the southeast"
Los,2.0,line of scrimmage
Angeles,1.0,"unincorporated urban center in southwestern California population 126,496"
cup,26.0,an open usually bowl-shaped drinking vessel
allegiance,12.0,the obligation of a feudal vassal to his liege lord
dependency,1.0,dependence sense 1
adjunct,1.0,something joined or added to another thing but not essentially a part of it
classified,7.0,divided into classes or placed in a class classified ads
Hades,2.0,the Greek god of the underworld
deck,21.0,a platform in a ship serving usually as a structural element and forming the floor for its compartments
Our,14.0,"of or relating to us or ourselves or ourself especially as possessors or possessor, agents or agent, or objects or object of an action"
theirs,3.0,that which belongs to them
knees,12.0,"a joint in the middle part of the human leg that is the articulation between the femur, tibia, and patella"
sun,93.0,"the luminous celestial body around which the earth and other planets revolve, from which they receive heat and light, which is composed mainly of hydrogen and helium, and which has a mean distance from earth of about 93,000,000 miles (150,000,000 kilometers), a linear diameter of 864,000 miles (1,390,000 kilometers), and a mass 332,000 times greater than earth"
dipped,6.0,"to plunge or immerse momentarily or partially under the surface (as of a liquid) so as to moisten, cool, or coat"
considers,3.0,to think about carefullysuch as
Vines,2.0,a plant whose stem requires support and which climbs by tendrils or twining or creeps along the ground
tools,33.0,a handheld device that aids in accomplishing a task
corset,4.0,a usually close-fitting and often laced medieval jacket
symbol,81.0,an authoritative summary of faith or doctrine creed
distinction,34.0,the act of perceiving someone or something as being not the same and often treating as separate or different the distinguishing of a difference
conveying,25.0,to bear from one place to another
habitation,2.0,the act of inhabiting occupancy not fit for human habitation
geology,1.0,a science that deals with the history of the earth and its life especially as recorded in rocks
crop,26.0,a pouched enlargement of the esophagus of many birds that serves as a receptacle for food and for its preliminary maceration
asteroid,1.0,any of the small rocky celestial bodies found especially between the orbits of Mars and Jupiter
beltway,1.0,a highway skirting an urban area
unfairly,17.0,in an unfair manner
speedy,3.0,marked by swiftness of motion or action
loudly,21.0,marked by intensity or volume of sound
jarring,2.0,"having a harshly concussive, disagreeable, or discordant effect"
whack,3.0,to strike with a smart or resounding blow
gin,1.0,a colorless alcoholic beverage made from distilled or redistilled neutral grain spirits flavored with juniper berries and aromatics (such as anise and caraway seeds)
ornament,40.0,a useful accessory
endless,9.0,being or seeming to be without end
wheels,25.0,"a circular frame of hard material that may be solid, partly solid, or spoked and that is capable of turning on an axle"
pulleys,5.0,a sheave or small wheel with a grooved rim and with or without the block in which it runs used singly with a rope or chain to change the direction and point of application of a pulling force and in various combinations to increase the applied force especially for lifting weights
thwart,7.0,to oppose successfully defeat the hopes or aspirations of
await,6.0,to wait for
sits,14.0,to rest on the buttocks or haunches
administered,7.0,"to manage or supervise the execution, use, or conduct of"
judges,12.0,a narrative and historical book of Jewish and Christian Scripture — see Bible Table
officials,13.0,one who holds or is invested (see invest entry 2 sense 1) with an office officer government officials A company official responded to our request.
occupying,53.0,to engage the attention or energies of
worktable,1.0,a table for holding working materials and implements
terrace,2.0,a relatively level paved or planted area adjoining a building
floodplain,1.0,level land that may be submerged by floodwaters
excavation,9.0,the action or process of excavating
compartmented,1.0,a separate division or section
dogs,22.0,"canid wolves, foxes, and other dogs"
cats,3.0,a carnivorous mammal (Felis catus) long domesticated as a pet and for catching rats and mice
benches,1.0,a long seat for two or more persons
lineup,9.0,a list of players taking part in a game (as of baseball)
exhibit,40.0,"to submit (something, such as a document) to a court or officer in course of proceedings"
processes,72.0,"progress, advance in the process of time"
Johnny,3.0,"fellow, guy"
Lee,5.0,protecting shelter
sidebar,3.0,a short news story or graphic accompanying and presenting sidelights of a major story
constrain,9.0,"to force by imposed stricture, restriction, or limitation"
angular,23.0,forming an angle sharp-cornered
deflect,3.0,to turn (something) aside especially from a straight course or fixed direction
ray,12.0,"any of an order (Rajiformes) of usually marine cartilaginous fishes (such as stingrays and skates) having the body flattened dorsoventrally, the eyes on the upper surface, and enlarged pectoral fins fused with the head"
guide,73.0,one that leads or directs another's way
bends,14.0,to constrain or strain to tension by curving
O,19.0,the 15th letter of the English alphabet
Henry,15.0,the practical meter-kilogram-second unit of inductance equal to the self-inductance of a circuit or the mutual inductance of two circuits in which the variation of one ampere per second results in an induced electromotive force of one volt
dispose,17.0,to give a tendency to incline faulty diet disposes one to sickness
bending,17.0,to constrain or strain to tension by curving
minds,15.0,"recollection, memory keep that in mind time out of mind"
eternity,5.0,the quality or state of being eternal
Christopher,5.0,Warren Minor 1925–2011 U.S. Secretary of State (1993–97)
Rand,2.0,the basic monetary unit of South Africa — see Money Table
distort,5.0,to twist (see twist entry 1 sense 3b) out of the true meaning or proportion to alter to give a false or unnatural picture or account
strenuously,6.0,vigorously active energetic
submissive,2.0,submitting to others
refusing,17.0,to express oneself as unwilling to accept
token,20.0,a piece resembling a coin issued for use (as for fare on a bus) by a particular group on specified terms
submission,15.0,a legal agreement to submit to the decision of arbitrators
Left,2.0,"of, relating to, situated on, or being the side of the body in which the heart is mostly located"
compromise,13.0,settlement of differences by arbitration or by consent reached by mutual concessions
wealthy,7.0,having wealth very affluent
supporters,4.0,one that supports or acts as a supportsuch as
wale,2.0,a streak or ridge made on the skin especially by the stroke of a whip welt
decompression,5.0,to release from pressure or compression
manifestation,9.0,"the act, process, or an instance of manifesting demanded some manifestation of repentance"
diagonal,5.0,joining two vertices of a rectilinear figure that are nonadjacent or two vertices of a polyhedral figure that are not in the same face
dexter,2.0,relating to or situated on the right
sinister,8.0,singularly evil or productive of evil
rope,67.0,a large stout cord of strands of fibers or wire twisted or braided together
fastened,47.0,"to attach especially by pinning, tying, or nailing"
Deschutes,2.0,river 250 miles (402 kilometers) long in central and northern Oregon east of the Cascade Range flowing north into the Columbia River
River,49.0,a natural stream of water of usually considerable volume
Oregon,4.0,the Columbia River
mountains,23.0,a landmass that projects conspicuously above its surroundings and is higher than a hill
towns,6.0,a compactly settled area usually larger than a village but smaller than a city
Look,5.0,to make sure or take care (that something is done)
concealed,18.0,kept out of sight or hidden from view
guise,5.0,a form or style of dress costume attended the masquerade in the guise of a court jester
promotes,6.0,"to advance in station, rank, or honor raise"
discounted,4.0,a reduction made from the gross (see gross entry 1 sense 3b) amount or value of somethingsuch as
prices,56.0,the amount of money given or set as consideration for the sale of a specified thing
outweigh,2.0,"to exceed in weight, value, or importance"
reaping,1.0,"to cut with a sickle, scythe, or reaping machine"
annuity,2.0,a sum of money payable yearly or at other regular intervals
pension,5.0,a fixed sum paid regularly to a person:
benefaction,1.0,the act of benefiting
profitable,17.0,affording profits yielding advantageous returns or results
patients,13.0,bearing pains or trials calmly or without complaint
benefited,2.0,something that produces good or helpful results or effects or that promotes well-being advantage discounted prices and other benefits of a museum membership The benefits outweigh the risks of taking the drug. reaping the benefits of their hard work changes that will be to your benefit
dies,12.0,to pass from physical life expire died at the age of 56 die young died from his injuries a dying tree
workers,72.0,one that works especially at manual or industrial labor or with a particular material
helped,7.0,to give assistance or support to
orphan,2.0,a child deprived by death of one or usually both parents
governess,1.0,a woman who governs
Norton,2.0,Charles Eliot 1827–1908 American author and educator
Juster,2.0,having a basis in or conforming to fact or reason reasonable had just reason to believe he was in danger
Phantom,2.0,something apparent to sense but with no substantial existence apparition
Tollbooth,2.0,a booth (as on a highway or bridge) where tolls are paid
enhancement,2.0,"heighten, increase"
prosperity,18.0,the condition of being successful or thriving
enhances,4.0,"heighten, increase"
shared,68.0,"used, done, belonging to, or experienced by two or more individuals"
surety,32.0,the state of being suresuch as
sued,5.0,to seek justice or right from (a person) by legal process
compel,18.0,to drive or urge forcefully or irresistibly
suing,4.0,to seek justice or right from (a person) by legal process
cosureties,1.0,any of two or more sureties liable on the same obligation
proportionate,3.0,proportional sense 1
heir,14.0,one who receives property from an ancestor one who is entitled to inherit property
disability,4.0,"a physical, mental, cognitive, or developmental condition that impairs, interferes with, or limits a person's ability to engage in certain tasks or actions or participate in typical daily activities and interactions"
fringe,1.0,an ornamental border consisting of short straight or twisted threads or strips hanging from cut or raveled edges or from a separate band
par,20.0,the established value of the monetary unit of one country expressed in terms of the monetary unit of another country using the same metal as the standard of value
Nothing,3.0,not any thing no thing
pizza,6.0,a dish made typically of flattened bread dough spread with a savory mixture usually including tomatoes and cheese and often other toppings and baked
pasta,7.0,paste in processed form (such as macaroni) or in the form of fresh dough (such as ravioli)
foods,25.0,"material consisting essentially of protein, carbohydrate, and fat used in the body of an organism to sustain growth, repair, and vital processes and to furnish energy"
moreover,8.0,"in addition to what has been said besides Moreover, this brew appears to kill insects faster than either of its ingredients does alone.— Tina Adler"
furthermore,5.0,"in addition to what precedes besides She always arrives on time; furthermore, her work is always excellent."
pretzels,2.0,a brittle or chewy glazed usually salted slender bread often shaped like a loose knot
excelling,3.0,to be superior to surpass in accomplishment or achievement
utility,21.0,fitness for some purpose or worth to some end
largest,21.0,exceeding most other things of like kind especially in quantity or size big a large number of complaints
rained,8.0,water falling in drops condensed from vapor in the atmosphere
accurately,17.0,in an accurate manner without mistakes or errors
excellence,61.0,the quality of being excellent
outdo,14.0,to go beyond in action or performance
bested,3.0,excelling all others
Herbert,13.0,George 1593–1633 English divine and poet
Canadian,16.0,a native or inhabitant of Canada
physiologist,4.0,"a person specializing in the biological study of the functions and processes of living organisms and their parts a biologist specializing in physiology Beall also compared the percentage of hemoglobin in each person's blood that carries oxygen—a value known by physiologists as oxygen saturation.— Jessica Gorman The ""fight or flight"" reaction has long been known to physiologiststhe heart beats faster, the muscles are readied and the body is primed in the most primitive of survival instincts.— David Golman Every exercise program should be personally prescribed by a professional—such as a sports-medicine physician or an exercise physiologist—and should aim at improving flexibility, strength and cardiovascular functioning.— Deborah Blumenthal"
staked,3.0,a pointed piece of wood or other material driven or to be driven into the ground as a marker or support
pledged,5.0,a bailment of a chattel as security for a debt or other obligation without involving transfer of title
contingent,16.0,dependent on or conditioned by something else
wager,11.0,something (such as a sum of money) risked on an uncertain event stake
figuratively,4.0,in a figurative waysuch as
bets,8.0,"something that is laid, staked, or pledged typically between two parties on the outcome of a contest or a contingent issue wager —often used figuratively in such phrases as all bets are off to stress the uncertainty of an outcome"
uncertainty,35.0,the quality or state of being uncertain doubt
pledge,34.0,a bailment of a chattel as security for a debt or other obligation without involving transfer of title
probabilities,4.0,the quality or state of being probable
stake,23.0,a pointed piece of wood or other material driven or to be driven into the ground as a marker or support
contestant,16.0,one that participates in a contest
guesses,8.0,to form an opinion of from little or no evidence
improved,16.0,to enhance in value or quality make better
commendable,4.0,to entrust for care or preservation
tolerable,5.0,capable of being borne or endured
excel,6.0,to be superior to surpass in accomplishment or achievement
bettered,2.0,greater than half
seconds,14.0,next to the first in place or time
preferably,3.0,by choice or preference
unsaid,2.0,not said
merit,22.0,"a praiseworthy quality virtue But originality, as it is one of the highest, is also one of the rarest, of merits.— Edgar Allan Poe"
jointly,10.0,the point of contact between elements of an animal skeleton with the parts that surround and support it
interval,43.0,a space of time between events or states
intermediate,32.0,"being or occurring at the middle place, stage, or degree or between extremes"
likeness,17.0,"copy, portrait"
restricted,34.0,subject or subjected to restrictionsuch as
hills,13.0,a usually rounded natural elevation of land lower than a mountain
surpassing,3.0,greatly exceeding others of a very high degree
comprehension,12.0,the act or action of grasping with the intellect understanding children who have difficulty with comprehension of spoken language What the artist actually needs is comprehension of his aims and ideals by men he respects …— H. L. Mencken
lies,52.0,"to be or to stay at rest in a horizontal position be prostrate rest, recline lie motionless lie asleep"
hereafter,2.0,after this in sequence or in time
sacred,16.0,dedicated or set apart for the service or worship of a deity
scriptures,3.0,the books of the Bible
Christians,6.0,one who professes belief in the teachings of Jesus Christ
Old,17.0,dating from the remote past ancient old traditions
Testament,8.0,a tangible proof or tribute
New,29.0,"having recently come into existence recent, modern I saw their new baby for the first time."
Judaism,6.0,"a religion developed among the ancient Hebrews and characterized by belief in one transcendent God who has revealed himself to Abraham, Moses, and the Hebrew prophets and by a religious life in accordance with Scriptures and rabbinic traditions"
Bible,15.0,the sacred scriptures of Christians comprising the Old Testament and the New Testament
preeminent,11.0,"having paramount rank, dignity, or importance outstanding, supreme"
authoritativeness,1.0,"having, marked by, or proceeding from authority authoritative church doctrines an authoritative decision an authoritative manner"
readership,1.0,the office or position of a reader
writings,17.0,the third part of the Jewish scriptures — see Bible Table
Christian,28.0,one who professes belief in the teachings of Jesus Christ
Jewish,9.0,"of, relating to, or characteristic of the Jews"
publications,6.0,the act or process of publishing
descriptive,13.0,presenting observations about the characteristics of someone or something serving to describe a descriptive account
critical,20.0,inclined to criticize severely and unfavorably
publishing,11.0,"the business or profession of the commercial production and issuance of literature, information, musical scores or sometimes recordings, or art"
consulted,1.0,"to have regard to consider ""Adams, consult your own safety, and don't remain here … ""— Charles Dickens"
magazines,11.0,"a print periodical containing miscellaneous pieces (such as articles, stories, poems) and often illustrated"
tandem,1.0,tandem bicycle
handlebars,2.0,a straight or bent bar with a handle at each end
steering,5.0,a male bovine animal and especially a domestic ox (Bos taurus) castrated before sexual maturity — compare stag sense 3
saddle,12.0,a girthed usually padded and leather-covered seat for the rider of an animal (such as a horse)
pedals,4.0,a lever pressed by the foot in the playing of a musical instrument (such as an organ or piano)
stationary,11.0,"fixed in a station, course, or mode immobile"
ride,48.0,to sit and travel on the back of an animal that one directs
pedaling,1.0,a lever pressed by the foot in the playing of a musical instrument (such as an organ or piano)
rides,4.0,to sit and travel on the back of an animal that one directs
pushing,32.0,"marked by ambition, energy, enterprise, and initiative"
cards,76.0,playing card
poorest,2.0,lacking material possessions
Crown,3.0,a reward of victory or mark of honor
Pitt,2.0,William 1708–1778 Earl of Chatham; the Elder Pitt British statesman
bidden,2.0,to offer (a price) whether for payment or acceptance
beseech,4.0,to beg for urgently or anxiously
bids,11.0,to offer (a price) whether for payment or acceptance
cardplayer,3.0,one who plays cards
proposes,2.0,to form or put forward a plan or intention
invitation,14.0,the act of inviting
imprisonment,16.0,to put in or as if in prison confine
stint,2.0,a period of time spent at a particular activity
auction,13.0,a sale of property to the highest bidder
dimensions,27.0,measure in one direction
bulk,31.0,magnitude impressed by the sheer bulk of her accomplishment
unrestrained,11.0,"not restrained immoderate, uncontrolled unrestrained proliferation of technology"
hearty,1.0,giving unqualified support
greeted,10.0,to address with expression of kind wishes upon meeting or arrival
hug,4.0,to press (someone) tightly in one's arms especially as a sign of affection
magnanimous,3.0,showing or suggesting a lofty and courageous spirit
outstandingly,6.0,standing out projecting stood on an outstanding rock
pretentious,2.0,characterized by pretensionsuch as
boasting,6.0,"a statement expressing excessive pride in oneself the act or an instance of boasting (see boast entry 2) brag It may sound like a boast, but I truly am very wealthy."
Mexico,2.0,"country in southern North America south of the U.S. (Texas, New Mexico, Arizona, and California), north of Guatemala and Belize, and between the Gulf of Mexico and the Pacific; a republic; capital Mexico City area 758,449 square miles (1,964,375 square kilometers), population 125,959,000 — see also mexican sense 1a"
bursting,4.0,"to break open, apart, or into pieces usually from impact or from pressure from within"
swelling,12.0,something that is swollen
bodied,6.0,having a body of a specified kind
flavorful,1.0,"odor, fragrance"
favoring,19.0,"providing or tending to provide help in moving forward being in one's favor advantageous a favoring tide They had flown away in the still June heat like dandelion spores, wafted by a favoring gale.— Christine Carroll At Cadiz the fleet was delayed by foul winds until 11 May, when it sailed with a favoring northerly.— Samuel Eliot Morison"
declamatory,1.0,"of, relating to, or marked by declamation or rhetorical display"
outstanding,31.0,standing out projecting stood on an outstanding rock
jaws,24.0,"either of two complex cartilaginous or bony structures in most vertebrates that border the mouth, support the soft parts enclosing it, usually bear teeth on their oral margin, and are an upper that is more or less firmly fused with the skull and a lower that is hinged, movable, and articulated with the temporal bone of either side — compare mandible, maxilla"
horny,15.0,of or made of horn (see horn sense 1d)
mouthpart,2.0,a structure or appendage near the mouth (as of an insect) especially when adapted for use in gathering or eating food
visor,7.0,the front piece of a helmet
hood,2.0,a flexible covering for the head and neck
caress,12.0,"to treat with tokens of fondness, affection, or kindness cherish the regiment was fed and caressed at station after station— Stephen Crane"
affectionately,2.0,feeling or showing affection or warm regard loving affectionate friends an affectionate nickname
billhook,2.0,a cutting or pruning tool with a hooked blade
itemized,6.0,to set down in detail or by particulars list itemized all expenses
invoice,2.0,an itemized list of goods shipped usually specifying the price and the terms of sale bill
expended,8.0,to pay out spend the social services upon which public revenue is expended— J. A. Hobson
posted,13.0,"a piece (as of timber or metal) fixed firmly in an upright position especially as a stay or support pillar, column"
programmed,2.0,a public notice
enactment,10.0,the act of enacting the state of being enacted
stating,13.0,mode or condition of being
complainant,4.0,the party who makes the complaint in a legal action or proceeding
suffered,19.0,to submit to or be forced to endure
breach,32.0,"infraction or violation of a law, obligation, tie, or standard"
freight,13.0,the compensation paid for the transportation of goods
waybill,2.0,"a document prepared by the carrier of a shipment of goods that contains details of the shipment, route, and charges"
lading,5.0,loading sense 1
posters,3.0,a usually large printed sheet that often contains pictures and is posted in a public place (as to promote something)
placards,2.0,a notice posted in a public place poster
billed,2.0,having a bill especially of a specified kind
G,12.0,the 7th letter of the English alphabet
poster,2.0,a usually large printed sheet that often contains pictures and is posted in a public place (as to promote something)
programs,22.0,a public notice
permitted,22.0,to consent to expressly or formally
attainted,2.0,to affect by attainder
attainder,5.0,extinction of the civil rights and capacities of a person upon sentence of death or outlawry usually after a conviction of treason
pains,16.0,a localized or generalized unpleasant bodily sensation or complex of sensations that causes mild to severe physical discomfort and emotional distress and typically results from bodily disorder (such as injury or disease)
imposes,6.0,to establish or apply by authority
named,60.0,a word or phrase that constitutes the distinctive designation of a person or thing
amended,2.0,changed or modified especially to make a correction or improvement
introduced,11.0,"to lead to or make known by a formal act, announcement, or recommendationsuch as"
certified,7.0,having earned certification a certified gemologist
originating,22.0,to take or have origin begin That board game originated in the 1940s.
House,16.0,a building that serves as living quarters for one or a few families home invited them to her house for dinner a two-family house
Representatives,12.0,serving to represent
miscellaneous,7.0,consisting of diverse things or members heterogeneous
provisions,22.0,the act or process of providing
appropriations,2.0,an act or instance of appropriating something
interpleader,8.0,a proceeding to enable a person to compel parties making the same claim against him to litigate the matter between themselves
seeks,10.0,to resort to go to
rulings,4.0,"an official or authoritative decision, decree, statement, or interpretation (as by a judge on a point of law)"
conflicting,6.0,"being in conflict, collision, or opposition incompatible conflicting theories"
prevails,2.0,to gain ascendancy through strength or superiority triumph
litigation,19.0,"the act, process, or practice of settling a dispute in a court of law the act or process of litigating an issue that has been in litigation for years an attorney who specializes in the litigation of property disputes The American Judicial System generally limits the filing of lawsuits to individuals with a personal stake in the litigation, but there are instances when litigants cannot themselves prosecute an action.— Jonathan Mahler also a legal action or proceeding (such as a lawsuit) ""You can't realize how much it costs to run one of these litigations. To get a battery of lawyers into a courtroom and do all the planning … and so on costs $500,000.""— Gordon Gould"
reachable,3.0,to stretch out extend
insufficient,19.0,not sufficient inadequate insufficient funds
certifying,2.0,to attest authoritativelysuch as
purchaser,8.0,to obtain by paying money or its equivalent buy
entitles,4.0,to give a title to designate
payable,30.0,"that may, can, or must be paid"
Treasury,18.0,a place in which stores of wealth are kept
bonds,32.0,Barry (Lamar) 1964– American baseball player
constipate,2.0,to cause constipation in
Cheese,1.0,"a food consisting of the coagulated, compressed, and usually ripened curd of milk separated from the whey"
commitment,7.0,an agreement or pledge to do something in the future
edging,4.0,something that forms an edge or border
apprentice,2.0,one bound by indenture (see indenture entry 1 sense 1a(3)) to serve another for a prescribed period with a view to learning an art or trade
indenture,1.0,a document or a section of a document that is indented
tailor,2.0,"a person whose occupation is making or altering garments (such as suits, jackets, and dresses) typically to fit a particular person"
cohesive,3.0,exhibiting or producing cohesion or coherence a cohesive social unit cohesive soils the cohesive property of clay
hamper,3.0,"to restrict the movement of by bonds or obstacles impede pitching … violently in the seaway, hampered by her heavy tow— R. S. Porteous"
hindered,1.0,to make slow or difficult the progress of hamper Their journey was hindered by snow and high winds. economic growth hindered by sanctions
compelling,9.0,that compelssuch as
hampered,3.0,"to restrict the movement of by bonds or obstacles impede pitching … violently in the seaway, hampered by her heavy tow— R. S. Porteous"
constrained,1.0,"to force by imposed stricture, restriction, or limitation"
tightly,32.0,having elements close together
gash,1.0,a deep long cut in flesh
gauze,11.0,a thin often transparent fabric used chiefly for clothing or draperies
costive,4.0,affected with constipation
burden,51.0,something that is carried load dropped his burden of firewood
binder,6.0,a person or machine that binds something (such as books)
innocuous,6.0,producing no injury harmless
slowly,69.0,"in a slow manner not quickly, fast, early, rashly, or readily"
destroyed,25.0,"to ruin the structure, organic existence, or condition of"
bacteria,23.0,bacterium —not usually used technically caused by a bacteria borne by certain tiny ticks — Wall Street Journal a single bacteria—there are roughly 200 in each cough—apparently can infect a person— Cheryl Clark
kinds,53.0,a group united by common traits or interests category
vital,63.0,of the utmost importance
treatise,4.0,a systematic exposition or argument in writing including a methodical discussion of the facts and principles involved and conclusions reached
feathered,8.0,having feathers
Aves,1.0,"an expression of greeting or of leave-taking hail, farewell"
blooded,3.0,having blood of a specified kind
